fawn|হরিণ-শিশু
japanese-held|জাপানী-অধিকৃত
wary|সাবধানী
cambodia|কম্বোডিয়া
flood|বন্যা,প্লাবিত হওয়া
pasadena|প্যাসাডেনা
republic|প্রজাতন্ত্র,প্রজাতন্ত্র
kget|কে-গেট
ambitious|উচ্চাভিলাষী,দূরাকাংক্ষী
developers|ডেভেলপারগণ
smell|গন্ধ
wart|আঁচিল,জডুল
woodman|কাঠুরিয়া,বনরক্ষক
intend|মনস্থ করা,অভিপ্রায় করা,উদ্দেশ্য থাকা
videodriver|ভিডিও ড্রাইভার
asterisk|অ্যাসটেরিস্ক
abjuration|শপথ পূর্বক পরিত্যাগ
cats.and.dogs|মুষলধারে
muslims|মুসলিম,মুসলমান,মুসলমান
intent|উদ্দেশ্য
waggish|রঙ্গপ্রিয়,রহস্য প্রিয়
professional|পেশাদারী,পেশাদার,পেশাজীবি
himal|হিমাল
hawker|ফেরিওয়ালা
apside|অপসূর বিন্দু
warn|সাবধান করা,সতর্ক করে দেয়া,সাবধান করা,সতর্ক করা
fastened|বদ্ধ
diadem|মুকুট
ottawa|অটোয়া
time|সময়,সময়
push|ধাক্কা দেওয়া,ঠেলা
banners|ব্যানার
breadth|চওড়া
chain|শৃঙ্খল,চেইন দিয়ে বাধা
auscultation|হৃৎস্পন্দন শ্রবণ
oss|ওএসএস
trend-setter|দৃষ্টান্ত সৃষ্টিকারী
activated|সক্রিয়
crocodile|কুমির
avalanche|হিমবাহ
chair|কেদারা,চেয়ার
mount.lemmon|মাউন্ট লেমন
osd|ওএসডি
airdrome|বিমান ঘাঁটি
millisecond|মিলি সেকেন্ড
philosopher|দার্শনিক
venice|ভেনিস
william|উইলিয়াম
micro-oven|মাইক্রো ওভেন
crater|খাদ
raja|রাজা
mare.nectaris|মধু সাগর
himalaya|হিমালয়
circumstances|পরিস্থিতি
agnomen|অতিরিক্ত নাম
reliable.source|নির্ভরযোগ্য উৎস
downloading|ডাউনলোড
prepaid|অগ্রিম
left.side|বাম দিক
consolidation|দৃঢ়করণ
choice|পছন্দ,পছন্দ,পছন্দ,মনোনয়ন শক্তি,বাছাই করা বস্তু
votary|ব্রতী,ভক্ত
mourn|শোকপালন করা
stays|অবস্থান করে
locked|লককৃত
fullest|পূর্ণতম
thumbbar|থাম্ব-বার
betterment|উন্নতিসাধন
minute|মিনিট
room|কামরা,কক্ষ,ঘর
variable|চলক
west.bengal|পশ্চিমবঙ্গ
amoral|অনৈতিক
khtml|কেএইচটিএমএল
tex|টেক্
leave|সাময়িক ছুটি,বাদ,ছেড়ে চলে যাওয়া
teak|সেগুন গাছ
settle|মীমাংসা করা
defaults|ডিফল্ট অবস্থায়
team|দল,দল গঠন করা,দল গঠন করা
sidepanel|সাইড প্যানেল
speculation|ধারণা
meta-di-nitro-benzene|মেটা-ডাই-নাইট্রো-বেনজিন
oxalic.acid|অক্সালিক এসিড
batsmen|ব্যাটসম্যান
prevent|প্রতিরোধ করা,প্রতিরোধ করা
spiritual|আধ্যাত্মিক
occurrence|সংঘটন
insignificant|তুচ্ছ
collage|কোলাজ
calcutta.high.court|কলকাতা হাইকোর্ট
sign|চিহ্ন,সই করা
adulation|চাটুবাদ
crescent|হেলাল
anaconda|অ্যানাকোন্ডা
incrementally|ক্রমবৃদ্ধিমান
alaska.airlines|আলাস্কা এয়ারলাইন্স
educate|শিক্ষিত করা
antwerp|এনথওয়ার্প
abdullah|আবদুল্লাহ
melt|গলানো,গলান
swiss|সুইস
current|বর্তমান,বর্তমানে ব্যবহৃত
watermark|জলছাপ
all-powerful|সর্বশক্তি মান
helio.parallax|সৌরকেন্দ্রিক লম্বন
ground|মাঠ,ভূমি
badge|ব্যাজ
daily.use|দৈনন্দিন ব্যবহার
scrolllock|স্ক্রললক
2-letter|দুই অক্ষর
abscond|আত্মগোপন করা,ফেরার হওয়া
amalgam|পারদ মিশ্রিত ধাতু
funeral|শেষকৃত্য
agreement|মতৈক্য,চুক্তি
magnetism|চৌম্বকত্ব
upgrade|আপগ্রেড,উন্নতকরণ,আপগ্রেড করা
address|ঠিকানা,সম্বোধন করা,সম্বোধন করা,ভাষন দেওয়া
alone|একা,একা
ratio|অনুপাত
along|ধরে,কেবল,একাকী,নিঃসঙ্গ
three-dimensional|ত্রিমাত্রিক
passengers|যাত্রী
tickmarks|টিকমার্ক
pleistocene|প্রস্তর
title|শিরোনাম,শিরোনাম
wherever|যে কোনো জায়গায়
new.indian.express|নিউ ইন্ডিয়ান এক্সপ্রেস
commonly|সাধারণভাবে,সাধারণত
queue|সারি,সারিবদ্ধ করা
accomplished|গুণান্বিত,শিক্ষিত,রুচি সম্পন্ন
cool-streams|কুল-স্ট্রীম
absenteeism|নিজ গৃহ হতে প্রায় বাহিরে থাকার স্বভাব
diurnal.parallax|আহ্নিক লম্বন
pixel|পিক্সেল
bearable|বহনযোগ্য,যা সহ্য করা যায়
nowhere|কোথাও না
love|প্রেম,ভালবাসা,ভালবাসা,প্রীতি,স্নেহ-মমতা
radish|মূলা
plane.of.oscillation|দোলনতল
logical|যৌক্তিক
bloody|রক্তাক্ত
overarching|খিলান
abash|অপ্রস্তুত করা,লজ্জা দেওয়া
domestic.labour|ঘরোয়া শ্রম
fake|নকল,নকল করা,অভিনয় করা,ভান করা
bookmarks|বুকমার্ক
on-screen-display|পর্দার উপর প্রদর্শন
abase|হীনপদস্থ করা,অপমানিত করা
filmi|ফিল্মি
working|কর্মরত
amphoteric|এসিড-ক্ষারকীয়
positive|ধনাত্মক
angry|ক্রুদ্ধ,রাগী
wane|হ্রাস পাওয়া,ক্রমশ ক্ষীণ হওয়া
wicket|উইকেট,দু’দিকের উইকেটের মধ্যবর্তী ঘাসে-ঢাকা জমি
wood|কাঠ,কাষ্ঠ,বন
citywide|নগরব্যপী,শহর ব্যাপি
scope|ব্যাপ্তি
white.mountain|শ্বেত পর্বত
theoretical|তত্ত্ব সম্বন্ধীয়,তত্ত্বীয়
loving|মনোরম
high-speed|উচ্চ গতি
untitled|শিরোনামহীন
dampness|আর্দ্রতা
afford|সমর্থ হওয়া,সমর্থ হওয়া
clitoris|ভগাঙ্কুর
free.content|মুক্ত বস্তু,মুক্ত উপাদান
apachelogger|অ্যাপাচে-লগার
bharata|ভারত
everywhere|সর্বত্র
virtue|গুণ,ধর্ম,সদগুণ,নৈতিক উৎকর্ষ
behala|বেহালা
behalf|তরফ থেকে
involve|অন্তর্ভুক্ত,জড়িত করা,সংশ্লিষ্ট করা,জড়ানো
lowercase|ছোটহাতের
titanium|টাইটানিয়াম
md-83|এমডি ৮৩
abortion|গর্ভপাত
privy|শৌচাগার,ব্যক্তিগত
believer|বিশ্বাসী
descriptor|বর্ণনাকারী
biophysicist|জৈব-পদার্থবিদ
printing|মুদ্রণ
values|মান
following|নিম্নলিখিত,পরবর্তী,পরবর্তী
detached|আলাদা
unraveled|স্পষ্ট করা, উদঘাটন করা
boiling.point|স্ফুটনাংক
mirrors|আয়না
former.north|পূর্বতন উত্তর
smyrna|স্মির্না
mailboxes|মেইলবাক্স
betatest|বেটা-টেস্ট
wrapper|মোড়ক
incremental|ক্রমবর্ধিষ্ণু
unanticipated|অপ্রত্যাশিত
allowed|অনুমোদিত
tar|টার
sphere|গোলক
allopath|অ্যালপেথিক ডাক্তার
immune|অনাক্রম্য
abidance|মানিয়া চলা
chaucer|চসার
rose|গোলাপ
fps|এফ-পি-এস
elephant|হাতি
xhtml|এক্স-এইচ-টি-এম-এল
proper.motion|সরলগতি
parameter|মান
cavil|তুচ্ছ আপত্তি
edinburgh|এডিনবার্গ
explorer|এক্সপ্লোরার
datu|দাতু
blasting|প্রবলবেগে
spot|দাগ
rehabilitate|পুনর্বাসন করা
applications|অ্যাপলিকেশন
date|তারিখ
such|যেমন,যেমন,এরকম,এ ধরনের,এই রকম
suck|চোষণ করা,চোষা,চোষা
truly|সত্যিকারের
data|ডেটা,তথ্য
supersonic|শব্দের চেয়ে দ্রুততর
stress|চাপ দেওয়া
natural|প্রাকৃতিক
industrial.centre|শ্রমশিল্প কেন্দ্র
sectors|সেক্টর
kanaighat|কানাইঘাট
upcoming|আগমনরত
